CORE,FREQ
OPI,303
FIC,303
ILITY,303
ANTH,303
TAI,302
CUR,302
ODI,302
TTER,302
LOS,302
TOP,302
NATE,301
EAL,301
ASE,301
HIC,301
RRI,301
YD,301
PAL,301
NL,300
OPO,300
WIN,299
PPE,299
ISI,298
TICAL,298
REM,298
RSE,298
BLA,298
HYP,298
ICO,298
IKE,297
RUM,297
EPI,297
KL,296
ALIZ,296
OUSL,296
ESC,295
BEL,294
ONC,294
GRAPH,294
DON,294
USLY,294
GAL,293
OUSLY,293
GRE,292
IVI,292
DLE,292
SHO,292
TABL,291
LP,291
EED,291
BUR,291
RDI,291
ARM,290
MED,290
ATR,290
UTE,289
VIN,288
BRO,288
SOR,288
MES,288
LIG,287
MPE,287
ACTI,286
MAC,286
OMO,286
SING,285
CATI,285
ASH,285
BILIT,285
MAS,285
OLY,285
CHR,284
NGLY,284
DRA,282
NOR,282
ESE,281
TIONS,281
UAL,281
LECT,281
NOS,281
TLY,281
IBL,280
AVI,280
OSS,280
LOU,280
ETIC,279
KING,279
IMI,279
ATIC,279
ILA,279
VIS,279
OGE,279
NTS,278
INGLY,278
SCE,277
WN,277
JO,277
LIZE,277
OY,275
TAC,275
OSA,275
EAN,275
PED,274
ERV,274
RANS,274
ERB,274
TIONAL,273
DG,273
VES,273
RIL,273
VAL,273
CTE,272
CEL,272
XT,272
HED,271
CONT,270
CIT,270
OGY,270
KO,270
PRES,269
NTO,269
ODO,269
AMB,269
OCH,269
NDR,268
LIST,268
BILITY,268
AIR,268
PEC,267
OOT,267
MUS,266
XP,266
EPT,266
ECI,266
OCE,266
SUP,266
TIF,266
SPA,265
ICT,265
SEL,265
NR,264
JE,264
ISO,264
GON,264
EMEN,264
CS,264
BAN,264
YI,263
BLY,263
EUR,263
UF,263
PTE,263
SIV,262
RIM,262
MINA,262
EGA,262
ARB,262
RIG,261
CAS,260
DEL,260
NH,260
AUT,260
HIS,260
EXP,259
STRI,259
URO,259
ROO,259
DIO,258
TIM,258
PIT,258
ROG,258
LID,258
PARA,258
OMY,258
GAR,257
IGN,257
ECH,256
OBI,256
LOP,256
ERG,256
TRANS,256
ISTIC,255
SATIO,255
SATION,255
DEM,255
FISH,255
LB,255
REF,254
ENTE,254
FLO,254
LF,253
LIE,253
LIK,253
BLI,253
LARI,253
BRE,253
NOM,253
AUR,253
RGE,252
CID,252
LK,252
LAND,252
ATER,252
UO,251
EVI,251
OLD,251
SIVE,249
NGI,249
OWE,249
ERL,249
OMM,249
DAL,249
PLI,249
NUS,248
NALI,248
GIC,248
ILY,247
DN,247
ELO,247
NDO,247
RIZ,247
FOL,247
RME,246
PET,246
ACA,246
NTL,246
SOM,246
NAN,245
HOU,245
OGRAP,245
OGRAPH,245
LIO,245
ARO,244
NP,244
NB,244
BAT,244
USN,244
INF,243
RICA,243
GIS,243
UMB,243
LOGY,243
FFE,242
SCI,242
SMA,242
ATES,242
ESTI,242
USNE,242
HAM,242
SIL,241
ITO,241
FIN,241
VERS,241
ITU,241
EDE,241
ICUL,241
BUL,241
RATIO,241
GAN,241
NCI,240
CATE,240
MOU,240
HOM,240
SEM,240
TEM,239
TATIO,239
BOR,239
ILLA,239
OUSN,239
OUSNE,239
USNES,239
OUSNES,239
USNESS,239
LIKE,238
CLO,238
CTIV,238
MME,238
TTI,238
NGU,238
OUND,237
ZAT,237
TW,236
BIN,236
RNA,236
APO,236
RIAN,236
FIE,235
ASTE,235
MUL,235
IAC,235
ORR,235
GLE,234
OTA,234
ABIL,234
IZAT,234
LISE,234
USI,233
DIT,233
GRO,233
RIP,233
TOL,233
OPHY,233
TABLE,232
UNA,232
RNI,232
OSP,232
AGI,232
THY,232
ONIS,232
RATION,232
HN,232
OLOGY,232
TERO,232
ICS,232
ZATI,232
IZATI,232
ZATIO,232
IZATIO,232
ZATION,232
EXT,231
RACT,231
RIST,231
TATION,231
NIZ,231
EMENT,231
APE,231
TUM,231
LLU,231
DUC,230
RNE,230
ULI,230
OMET,230
ELLA,230
ISAT,230
STIN,229
ERING,229
INU,229
ROB,228
HING,227
LIM,227
UNDER,227
ANU,227
IOL,227
ROPH,227
TRAC,226
NGS,226
ITIS,226
ESSI,225
XE,225
NCY,225
ORP,225
CIS,225
PON,225
EMP,225
ROD,225
TURE,225
MN,225
OGEN,225
ULE,225
ISATI,225
COMM,224
PERI,224
OSIS,224
ARG,224
ISATIO,224
REV,223
AMO,223
NOP,223
LOT,223
CATIO,223
CATION,223
RIF,223
DLY,223
NAC,222
XA,222
HET,222
ETO,222
OMB,222
ERP,222
ABILI,222
MIA,222
ALT,221
UCT,221
ARCH,221
ITIO,221
CLI,221
IVA,221
ARS,221
CIO,221
LAB,221
TID,221
PUL,221
ANIS,221
TOC,221
EQ,220
FY,220
AGO,220
ARIS,220
MPL,219
ASTI,219
BAS,219
ZED,219
UPE,219
TALI,219
TERA,219
COS,219
PTER,219
EQU,218
TORY,218
SEC,218
ILLI,218
HM,217
TIE,217
ROW,217
LEG,217
NNI,217
LEM,217
STAN,217
PERS,217
LG,217
DAN,217
SSA,216
CTA,216
NEU,216
LN,216
NOT,215
REG,215
KY,215
STRO,214
IED,214
DRI,214
NIST,214
UNG,213
ARK,213
ATHE,213
ALIT,213
ALS,213
COC,213
HYL,213
IUS,213
LUT,212
OWN,212
ERIA,212
RER,212
ENN,212
UCK,211
SIC,211
WER,211
NM,210
LAST,210
ILO,210
SAR,209
UTA,209
ALLI,209
BOL,209
AMM,209
SQ,209
TROP,209
HYD,209
LENE,209
TORI,208
PHAL,208
MOT,208
DNE,208
ARP,208
ABO,208
VIT,208
NTIN,208
HEAD,208
ALES,208
STU,207
NOU,207
GES,207
BY,207
MOS,207
OPHI,207
FRA,206
PEL,206
EIN,206
API,206
SQU,206
ACR,206
OTT,205
RMO,205
RRA,204
BON,204
POT,204
SHIP,204
OCO,204
IBLE,203
DAT,203
WOO,203
OSC,203
OUNT,203
NOC,203
LIP,203
HOT,203
OPA,203
PAS,202
ASC,202
IRI,202
ERF,202
SCU,202
UFF,202
OPT,202
ECA,202
MPA,201
CTU,201
GLO,201
OPHO,201
PHIL,201
ELLI,200
LATIO,200
TRY,200
OTHE,200
ASSI,199
UNE,199
AFF,199
PID,199
RIB,199
DGE,199
FLE,199
ZIN,199
NSU,198
IBI,198
INK,198
IDES,198
OLU,197
TAM,197
ONIC,197
ESP,197
RAV,197
LATION,196
VAN,196
CUM,196
NID,196
IPP,196
ICATI,196
ORK,196
UME,196
ABA,196
METR,196
DISC,195
BEN,195
IZED,195
EMB,195
ECU,195
AMIN,195
ACO,195
OVI,194
DEF,194
SUS,194
ERED,194
SSO,194
CHAR,194
PORT,194
NATIO,194
NATION,194
YG,194
TOS,194
MID,193
KN,193
NTRA,193
THRO,193
NUM,193
CHIN,192
IX,192
DENT,192
IFE,192
INN,192
PIS,192
ENTR,192
RSI,191
LIF,191
NEA,191
BUS,191
TERS,191
ABILIT,191
POD,191
POLY,191
SYN,190
DNES,190
ELLE,190
ENDE,190
NEL,190
VOL,190
WEE,190
OIN,190
BEA,190
RIAL,190
LLIN,189
TM,189
CHL,189
URG,189
UTO,189
NTIA,188
ADA,188
COLO,188
VAT,188
GENE,188
ALIZE,188
HOP,188
IONI,188
ONF,187
GNE,187
IGA,187
MATO,187
ANK,187
DEA,186
ABLY,186
DNESS,186
MBE,186
TF,186
IPE,186
MOL,186
GUI,186
YPE,186
HUS,186
IVEL,185
RCE,185
ITION,185
SCEN,185
ERMI,185
HOO,185
YDR,185
LTI,184
RRO,184
VENE,184
EEN,184
ILLE,184
RW,184
PRA,184
ERMA,184
ISTE,183
IATE,183
ANGE,183
MAG,183
PTO,183
ITR,183
NIF,182
MINE,182
ROV,182
DOR,182
WS,182
HUM,182
ANDE,182
PSI,182
LEP,182
ONIA,182
LAG,182
VIC,181
ECE,181
TTA,181
ISHE,181
CKS,181
IRA,181
DOM,181
NAB,181
NDS,181
NTLY,181
HIT,181
OGIC,181
OIDE,181
NAS,180
STAT,180
IMM,180
OUSE,180
NTAL,180
TEA,180
CIL,180
LNE,180
RALI,180
LDE,180
ADO,180
PLO,179
ERTI,179
RTA,179
UTT,179
IFY,179
CHAN,179
IFIC,179
ULATE,179
WR,179
PAC,179
OOK,179
PING,179
OH,179
EPHA,179
FFI,178
CED,178
RABL,178
UGH,178
BOU,178
ONY,178
TAG,178
UTH,178
ALC,178
NDU,178
YLL,178
RBO,178
RIU,178
COT,178
CONC,177
INGS,177
URN,177
ARTI,177
MPH,177
UIT,177
PUR,177
UMP,177
OON,176
OZ,176
ITAT,176
PROP,176
SKI,176
TERN,176
NISM,176
CTOR,175
VELY,175
STRU,175
SEA,175
YST,175
REST,175
OMAT,175
BACK,175
ESIS,175
HYDR,175
USH,175
PIL,175
FRE,174
GM,174
BUT,174
HOS,174
PEA,174
CHRO,174
SPEC,173
RADI,173
GIST,173
HIA,173
UDE,173
CAM,173
LISM,173
COUN,173
UAT,173
CTIVE,172
WOOD,172
ARIN,172
URS,172
PIR,172
RGI,172
ARN,172
ISP,171
MPO,171
SIDE,171
SIM,171
UPER,171
HEE,171
NNA,171
FOLI,171
ECTO,171
HAE,171
TEE,170
SLA,170
GED,170
ALLE,170
IALI,170
CRU,170
LOGIC,170
EPA,170
EK,170
TINE,170
METE,170
BOA,170
YIN,169
NW,169
MONO,169
OMAN,169
UDI,169
ENTS,169
GLA,169
ALLO,169
OPS,169
RINE,169
AGG,168
FAC,168
LAD,168
SIG,168
SITI,168
SUM,168
LNES,168
AVA,168
GING,167
EOU,167
NVE,167
KET,167
WHI,167
TN,167
BLEN,167
IVELY,166
ORG,166
TUA,166
GRI,166
ARDI,166
LNESS,166
BLO,166
ICR,166
OAR,166
ETS,165
MOD,165
LOO,165
UIS,165
ELEC,165
NOL,165
ALU,165
KED,164
AUS,164
RUC,164
TOU,164
CET,164
ELES,164
DRE,164
PROT,164
RITI,164
KEN,164
LENES,164
LENESS,164
STS,164
OGIS,164
ESTR,163
ISED,163
ROMA,163
URR,163
GGE,163
ICATIO,163
CHER,163
THU,163
LOGIS,163
INGE,162
ARL,162
MENTA,162
EPE,162
OKE,162
CULAT,162
XO,162
OBA,162
BIO,162
ESSE,161
EVER,161
EDL,161
TENT,161
ESO,161
ATIONS,161
ALITY,161
USS,161
ANDI,161
GIA,161
SB,161
AGA,161
YING,160
XC,160
VAR,160
TATE,160
DEP,160
RDE,160
EER,160
RBI,160
OXI,160
RBA,160
RANT,159
VIR,159
ADD,159
TANT,159
EAC,159
VENT,159
NSO,159
OAT,159
UIN,159
UAR,159
ALISE,159
SAU,159
NIO,158
INATI,158
EFU,158
PART,158
MMA,158
KLE,158
DAC,158
YTE,158
MONI,157
TONE,157
HAS,157
CUT,157
HERE,157
ORAT,157
ERIS,157
EOUS,157
EAK,157
MINI,157
ORTI,157
ERAL,157
TICI,157
UNTE,157
BOO,157
CHU,157
CYT,157
NEC,156
OFF,156
OCI,156
TERE,156
MINAT,156
RIZE,156
HAND,156
HOUS,156
HRI,156
VERT,156
COUNT,156
IDO,156
ETTE,155
ARTE,155
UNR,155
VIL,155
INAL,155
BED,155
ORTH,155
MING,155
ATC,155
ECK,155
EMAT,155
LOM,155
LAY,154
ASSE,154
MATE,154
IGI,154
IATI,154
TRAT,154
ROA,154
RISE,154
CKL,154
ETRI,154
STRE,154
MUN,154
SSIO,153
OWER,153
TIG,153
RAIN,153
RATO,153
FLU,153
LACE,153
SET,153
RUN,153
ULO,153
RRY,153
OLOGIC,153
TYL,153
LICA,152
IFOR,152
NAM,152
GRAM,152
EUS,152
HAT,152
IAS,152
CEPH,152
SSION,151
NCT,151
ONV,151
ROI,151
LAI,151
IENT,151
OTIC,151
ALIST,151
EEP,151
EFI,151
NGER,151
DIE,151
PHOR,151
DIST,151
FRI,151
HIR,151
CTR,151
SPH,150
RVE,150
INV,150
TEC,150
LAU,150
MBO,150
STON,150
EPHAL,150
LOB,150
RIDA,150
SIB,149
UNP,149
DM,149
MATIC,149
ATUR,149
SUPE,149
SUPER,149
IVEN,149
CIOU,149
CIOUS,149
VU,149
WORK,149
MANI,149
NIZE,149
ATCH,149
INATE,149
TICALL,149
GUA,149
KU,149
CEPHA,149
CEPHAL,149
HAB,148
ASTR,148
IBE,148
ATORY,148
GNA,148
RANC,148
DAR,148
VIA,148
GUE,148
ATTE,148
DW,148
GEL,148
KH,148
ESTE,147
PRESS,147
YSI,147
EVA,147
SPOR,147
ESH,147
YPO,147
ALY,147
DOW,146
XY,146
MBI,146
OIS,146
IAR,146
ICULA,146
ATIONA,146
ACU,146
RCO,146
WAY,146
MICR,146
YB,146
OCY,146
DET,145
NICA,145
RIV,145
POI,145
DUL,145
OSIT,145
LLER,145
ENG,145
RGA,145
HS,145
OGA,145
EXC,144
TAS,144
CONF,144
ESCE,144
LANT,144
CANT,144
EPR,144
WAL,144
OMIN,144
ERATI,144
ERIC,144
PES,144
GAM,144
ICRO,144
HYT,144
HAG,144
IACE,144
IFOL,144
FORE,143
IFORM,143
LVE,143
RPH,143
PHIC,143
NRE,143
INDE,143
WL,143
BIR,143
FIL,143
ONTI,143
GICA,143
CKER,143
RACE,143
ALK,143
BLENE,143
BLENES,143
IFIE,142
CARP,142
NEN,142
ISCO,142
WEL,142
DERS,142
ZING,142
AGN,142
ENTL,142
SOME,142
PUS,142
OGIST,142
PHYL,142
ONST,141
PLAN,141
IMO,141
YAN,141
GOR,141
ENCY,141
SUL,141
IEL,141
GAS,141
LOGIST,141
UCH,140
RLE,140
CIP,140
DIV,140
OTR,140
OPP,140
ELECT,140
LOUS,140
ORC,140
ACHI,140
AIS,140
WORT,140
CULAR,140
LAP,140
MBA,140
IOS,140
SAC,140
MICRO,140
SPER,140
EZ,140
OLIA,140
OLOGIS,140
POST,139
TENE,139
RENT,139
EGI,139
RCU,139
OCC,139
NOI,139
IFOLI,139
ELD,138
MEA,138
RABLE,138
NSA,138
ADR,138
SOC,138
EAB,138
GUL,138
INDI,138
LTE,138
NTED,138
HYS,138
FICA,138
NAP,138
ELIN,138
RTIC,138
LEO,138
ENU,138
GICAL,138
UMI,138
ETRA,138
METER,138
AGR,137
ASP,137
IRR,137
LAV,137
MPR,137
ISSI,137
EXI,137
UMA,137
ENER,137
ALM,137
NGA,137
MMU,137
PHON,137
VENES,137
TOG,137
LYS,137
ANTE,136
TAIN,136
CONV,136
IVER,136
ULATI,136
TERM,136
ELS,136
ORES,136
ERU,136
WAT,136
TNE,136
RLI,136
EOL,136
TIAL,135
RVI,135
FEC,135
IGE,135
OUG,135
APA,135
NSTR,135
APPE,135
STH,135
RIES,135
STY,135
NALIS,135
GLI,135
IOUSL,135
IOUSLY,135
MERI,134
CTIN,134
ERATE,134
MPER,134
EPO,134
ENTAL,134
ANTA,134
SOU,134
ENIC,134
MAI,134
RDS,134
SCOP,134
YPER,134
ZER,134
HLO,134
IPA,133
ELESS,133
LENT,133
APT,133
DICA,133
MBL,133
TTL,133
ONN,133
LUC,133
NISE,133
IVENE,133
HYPE,133
TET,133
AEM,133
SENT,132
CKI,132
MMO,132
ABE,132
FRO,132
UCI,132
GEO,132
CIAL,132
ASTER,132
PIE,132
NIAN,132
OOL,132
TARI,132
SOP,132
HERM,132
UK,132
PYR,131
ATIS,131
NOUS,131
UNCO,131
CEPT,131
ORPH,131
EURO,131
NDIN,131
FULL,131
ILIA,131
VENESS,131
POSI,131
RSH,131
ECTR,131
DOL,131
DB,131
TLES,130
ECTIO,130
PERM,130
ACTE,130
CHY,130
LEX,130
YCH,130
IZI,130
DH,130
TCHE,130
YDRO,130
HYDRO,130
BIA,130
ATUS,130
IACEA,130
EET,129
UEN,129
NDL,129
ATRI,129
ORIA,129
TIZ,129
PPI,129
BELL,129
HYPER,129
YRI,129
PLAS,129
LIDA,129
MYC,129
ECR,128
VING,128
FIR,128
IFF,128
META,128
PPO,128
OSTE,128
NTU,128
ALISM,128
ULTI,128
ULLY,128
INIS,128
NEM,128
PPER,128
UV,128
YRO,128
HOUSE,128
NCA,127
ACHE,127
IET,127
ITIC,127
COLL,127
OPL,127
ERNA,127
ECTION,127
SPR,127
ISTR,127
IVENES,127
POP,127
IRO,127
EBR,127
ULARI,127
ORU,127
PECT,126
GNI,126
PERC,126
PREC,126
PHR,126
AKI,126
TICU,126
LEU,126
APS,126
ONALI,126
IQ,126
SMO,126
IFER,126
OPTE,126
CALI,126
YTO,126
ODON,126
SF,125
AVO,125
IDEN,125
PHER,125
EREN,125
RST,125
AXI,125
RACH,125
NGO,125
JI,125
NJ,124
ASA,124
CRY,124
ITTE,124
RANG,124
IFICA,124
COA,124
EGR,124
EDA,124
CHES,124
ATHER,124
HROM,124
ROPO,124
HEMI,124
CIF,124
UAN,124
OGICA,124
OGICAL,124
STOR,124
URAL,124
LYC,124
